cameo_root,cameo_label,commodity,lag_days,pearson_r,pearson_p,spearman_r,spearman_p
17,Coerce,GC=F,1,0.010200636191204128,0.6483704997855267,0.018667249549051863,0.403951753946839
17,Coerce,GC=F,5,0.013616155860113619,0.5427015383811458,0.01804008136467733,0.41993154827482015
17,Coerce,GC=F,10,0.015581512720663713,0.4860485419034328,0.017559317001424105,0.43242863414314225
17,Coerce,GC=F,20,-0.003784328076746898,0.8659904281774434,0.028668213535955694,0.201019276750795
17,Coerce,ZW=F,0,-0.0028329632852676827,0.8998237803493282,0.0033964493007075628,0.8800365842994672
17,Coerce,ZW=F,1,0.010606526928406544,0.6374136911873346,0.008016586761535875,0.721671668054954
17,Coerce,ZW=F,5,0.013061242893867168,0.5616411186220778,0.008443232830550007,0.7075231322092654
17,Coerce,ZW=F,10,0.03757083569637849,0.094906950942983,0.032631896767648175,0.1469481490360085
17,Coerce,ZW=F,20,0.03927222369508575,0.08162715324467389,-0.0028931757575109958,0.8979641304371635
18,Assault,CL=F,0,0.010965665677912722,0.6308232704444575,0.004988976016400055,0.826933760749741
18,Assault,CL=F,1,-0.005220847639933421,0.8190263642985512,-0.00759804730498201,0.7391509569358383
18,Assault,CL=F,5,-0.021593208533008446,0.34394433131564295,-0.03720402334003034,0.10289548266436851
18,Assault,CL=F,10,-0.039593595754223394,0.08259726131158392,-0.049231801189351394,0.030864176498685107
18,Assault,CL=F,20,-0.009818624763547227,0.6677139788468404,-0.014528520812729585,0.5252779633700524
18,Assault,GC=F,0,-0.004143762926309427,0.8530360876376699,-0.0070360321916120225,0.7531057747933275
18,Assault,GC=F,1,0.023232119998912486,0.29893381102472116,0.011137056359461816,0.6185595033122491
18,Assault,GC=F,5,-0.004956697583108116,0.8246342531954542,0.00482168132259983,0.829336566807282
18,Assault,GC=F,10,-0.01212000075171241,0.5879290616522417,-0.014438546471847901,0.5186013416869524
18,Assault,GC=F,20,0.014490713233106366,0.5180365354463895,0.011578099068351735,0.6055438767983983
18,Assault,ZW=F,0,0.033802186686378355,0.132983196664131,0.04608817882064912,0.040458884476211966
18,Assault,ZW=F,1,0.015404870439997283,0.49362074350208834,0.024251264476453482,0.2811355840412739
18,Assault,ZW=F,5,0.04372494189945217,0.051912019080072,0.023240077053601055,0.3016879677856668
18,Assault,ZW=F,10,-0.01384303239473584,0.538456046681278,-0.013649629620366806,0.5441467473120268
18,Assault,ZW=F,20,-0.035896553663606695,0.11139606489376337,-0.03696246539005661,0.10116065737241871
19,Fight,CL=F,0,0.03490201560388426,0.12601797366321493,0.020662677640346468,0.3651435071654273
19,Fight,CL=F,1,0.0005762178285001977,0.9798540478148791,0.01890387577815527,0.40738273817136017
19,Fight,CL=F,5,-0.008792761936306851,0.6999876463177209,-0.00793218887218208,0.728124209591567
19,Fight,CL=F,10,-0.0038401057467613124,0.8663570799360735,0.008910872840833264,0.6961568884483536
19,Fight,CL=F,20,0.011377421550297672,0.6189670363387074,-0.002549235316037982,0.911279027601399
19,Fight,GC=F,0,-0.041260606009584866,0.06499040025266588,-0.02750665752070518,0.2187321364039261
19,Fight,GC=F,1,-0.03249533921085915,0.14620308903774107,-0.017748409767799067,0.4274878395697719
19,Fight,GC=F,5,-0.0075530604336995,0.7356184715892667,-0.007158404566632169,0.7489549760547474
19,Fight,GC=F,10,-0.04609080593888988,0.03924907111578765,-0.043272110214849654,0.052945114760203034
19,Fight,GC=F,20,0.03226267042383895,0.15013607690309264,0.035959929204943474,0.10869960387461519
19,Fight,ZW=F,0,0.004510398883634598,0.8411504307632313,-0.010264024688553152,0.6483198591721605
19,Fight,ZW=F,1,0.003008221608873672,0.8936622053934933,0.009237568098769777,0.6814514504768052
19,Fight,ZW=F,5,0.00305524869099787,0.892009944279587,0.005362094230868205,0.8116730601703641
19,Fight,ZW=F,10,-0.02258951350025846,0.31542635155191034,-0.009448023189980068,0.674605586343915
19,Fight,ZW=F,20,-0.028107747993822672,0.21274349559028066,0.0019959260209123134,0.929507195997715
20,Use Unconventional Mass Violence,CL=F,0,0.028590573703161773,0.2101345768179859,-0.0018615828992615217,0.9349797769236479
20,Use Unconventional Mass Violence,CL=F,1,0.03563870744605063,0.11821508296731775,0.0013944607347407664,0.9512714504960725
20,Use Unconventional Mass Violence,CL=F,5,0.034036049717904665,0.1356961436199574,0.020506796551899215,0.3687728821971009
20,Use Unconventional Mass Violence,CL=F,10,-0.021551236502559572,0.3448832838492473,-0.023613884622455252,0.3006746882823069
20,Use Unconventional Mass Violence,CL=F,20,-0.017301511139266833,0.44935493336344906,0.005585753493715566,0.807064320492257
20,Use Unconventional Mass Violence,GC=F,0,0.023274654091121477,0.29804974147425367,-0.023544917600090098,0.29247312933463815
20,Use Unconventional Mass Violence,GC=F,1,0.014653885330283506,0.5123833762520056,0.006619241084156454,0.7672960052981789
