cameo_root,cameo_label,commodity,lag,direction,f_stat,p_value_raw,sparse_skipped,q_value_fdr,significant
13,Threaten,GC=F,5,cameo→vol,0.20955178471245195,0.9585789447573521,False,0.9910434500810774,False
13,Threaten,GC=F,10,cameo→vol,0.33397739472159765,0.9721403194351268,False,0.9910434500810774,False
17,Coerce,GC=F,10,cameo→vol,0.41984588401282685,0.9377497158889962,False,0.9910434500810774,False
17,Coerce,ZW=F,5,cameo→vol,0.14178642996301427,0.9824518076825424,False,0.9910434500810774,False
19,Fight,CL=F,1,cameo→vol,0.0011930154441620775,0.9724500937876512,False,0.9910434500810774,False
19,Fight,ZW=F,5,cameo→vol,0.12879656648580476,0.9858817654452385,False,0.9910434500810774,False
19,Fight,ZW=F,10,cameo→vol,0.3712918706921048,0.9592118743137005,False,0.9910434500810774,False
19,Fight,ZW=F,20,cameo→vol,0.4561007834762896,0.9811902752340539,False,0.9910434500810774,False
02,Appeal,GC=F,20,cameo→vol,0.39310298596652304,0.99261684001921,False,0.99261684001921,False
01,Make Public Statement,CL=F,1,cameo→vol,,,True,,False
01,Make Public Statement,CL=F,5,cameo→vol,,,True,,False
01,Make Public Statement,CL=F,10,cameo→vol,,,True,,False
01,Make Public Statement,CL=F,20,cameo→vol,,,True,,False
01,Make Public Statement,GC=F,1,cameo→vol,,,True,,False
01,Make Public Statement,GC=F,5,cameo→vol,,,True,,False
01,Make Public Statement,GC=F,10,cameo→vol,,,True,,False
01,Make Public Statement,GC=F,20,cameo→vol,,,True,,False
01,Make Public Statement,ZW=F,1,cameo→vol,,,True,,False
01,Make Public Statement,ZW=F,5,cameo→vol,,,True,,False
01,Make Public Statement,ZW=F,10,cameo→vol,,,True,,False
01,Make Public Statement,ZW=F,20,cameo→vol,,,True,,False
09,Investigate,CL=F,1,cameo→vol,,,True,,False
09,Investigate,CL=F,5,cameo→vol,,,True,,False
09,Investigate,CL=F,10,cameo→vol,,,True,,False
09,Investigate,CL=F,20,cameo→vol,,,True,,False
09,Investigate,GC=F,1,cameo→vol,,,True,,False
09,Investigate,GC=F,5,cameo→vol,,,True,,False
09,Investigate,GC=F,10,cameo→vol,,,True,,False
09,Investigate,GC=F,20,cameo→vol,,,True,,False
09,Investigate,ZW=F,1,cameo→vol,,,True,,False
09,Investigate,ZW=F,5,cameo→vol,,,True,,False
09,Investigate,ZW=F,10,cameo→vol,,,True,,False
09,Investigate,ZW=F,20,cameo→vol,,,True,,False
10,Demand,CL=F,1,cameo→vol,,,False,,False
